id,from,to,distance
2027776,1117,1679,320.26
2027777,1117,1680,328.31
2027778,1117,1681,307.38
2027779,1117,1682,305.78
2027780,1117,1683,312.21
2027781,1117,1684,321.87
2027782,1117,1685,336.35
2027783,1117,1686,366.93
2027784,1117,1687,362.1
2027785,1117,1688,358.88
2027786,1117,1689,358.88
2027787,1117,1690,574.54
2027788,1117,1691,590.63
2027789,1117,1692,585.8
2027790,1117,1693,389.46
2027791,1117,1694,379.81
2027792,1117,1695,374.98
2027793,1117,1696,358.88
2027794,1117,1697,347.62
2027795,1117,1698,329.92
2027796,1117,1699,334.74
2027797,1117,1700,333.13
2027798,1117,1701,328.31
2027799,1117,1702,349.23
2027800,1117,1703,341.18
2027801,1117,1704,318.65
2027802,1117,1705,321.87
2027803,1117,1706,325.09
2027804,1117,1707,326.7
2027805,1117,1708,339.57
2027806,1117,1709,350.84
2027807,1117,1710,376.59
2027808,1117,1711,371.76
2027809,1117,1712,629.25
2027810,1117,1713,622.82
2027811,1117,1714,572.93
2027812,1117,1715,571.32
2027813,1117,1716,564.88
2027814,1117,1717,423.26
2027815,1117,1718,408.77
2027816,1117,1719,402.34
2027817,1117,1720,387.85
2027818,1117,1721,363.71
2027819,1117,1722,350.84
2027820,1117,1723,344.4
2027821,1117,1724,344.4
2027822,1117,1725,341.18
2027823,1117,1726,337.96
2027824,1117,1727,346.01
2027825,1117,1728,346.01
2027826,1117,1729,331.52
2027827,1117,1730,333.13
2027828,1117,1731,339.57
2027829,1117,1732,339.57
2027830,1117,1733,342.79
2027831,1117,1734,354.06
2027832,1117,1735,379.81
2027833,1117,1736,627.64
2027834,1117,1737,616.38
2027835,1117,1738,609.94
2027836,1117,1739,635.69
2027837,1117,1740,561.66
2027838,1117,1741,553.61
2027839,1117,1742,552
2027840,1117,1743,432.91
2027841,1117,1744,415.21
2027842,1117,1745,403.95
2027843,1117,1746,394.29
2027844,1117,1747,378.2
2027845,1117,1748,366.93
2027846,1117,1749,358.88
2027847,1117,1750,358.88
2027848,1117,1751,355.67
2027849,1117,1752,354.06
2027850,1117,1753,355.67
2027851,1117,1754,354.06
2027852,1117,1755,357.27
2027853,1117,1756,349.23
2027854,1117,1757,347.62
2027855,1117,1758,354.06
2027856,1117,1759,358.88
2027857,1117,1760,355.67
2027858,1117,1761,395.9
2027859,1117,1762,613.16
2027860,1117,1763,603.5
2027861,1117,1764,584.19
2027862,1117,1765,603.5
2027863,1117,1766,548.79
2027864,1117,1767,542.35
2027865,1117,1768,516.6
2027866,1117,1769,519.82
2027867,1117,1770,423.26
2027868,1117,1771,400.73
2027869,1117,1772,391.07
2027870,1117,1773,378.2
2027871,1117,1774,370.15
2027872,1117,1775,366.93
2027873,1117,1776,381.41
2027874,1117,1777,366.93
2027875,1117,1778,365.32
2027876,1117,1779,370.15
2027877,1117,1780,371.76
2027878,1117,1781,370.15
2027879,1117,1782,362.1
2027880,1117,1783,371.76
2027881,1117,1784,371.76
2027882,1117,1785,370.15
2027883,1117,1786,415.21
2027884,1117,1787,619.6
2027885,1117,1788,597.07
2027886,1117,1789,611.55
2027887,1117,1790,532.69
2027888,1117,1791,526.26
2027889,1117,1792,514.99
2027890,1117,1793,506.94
2027891,1117,1794,505.33
2027892,1117,1795,415.21
2027893,1117,1796,403.95
2027894,1117,1797,402.34
2027895,1117,1798,387.85
2027896,1117,1799,379.81
2027897,1117,1800,379.81
2027898,1117,1801,394.29
2027899,1117,1802,397.51
2027900,1117,1803,403.95
2027901,1117,1804,411.99
2027902,1117,1805,392.68
2027903,1117,1806,387.85
2027904,1117,1807,397.51
2027905,1117,1808,407.16
2027906,1117,1809,420.04
2027907,1117,1810,378.2
2027908,1117,1811,-999
2027909,1117,1812,-999
2027910,1117,1813,532.69
2027911,1117,1814,516.6
2027912,1117,1815,494.07
2027913,1117,1816,503.72
2027914,1117,1817,490.85
2027915,1117,1818,442.57
2027916,1117,1819,415.21
2027917,1117,1820,420.04
2027918,1117,1821,403.95
2027919,1117,1822,407.16
2027920,1117,1823,403.95
2027921,1117,1824,394.29
2027922,1117,1825,405.55
2027923,1117,1826,413.6
2027924,1117,1827,426.48
2027925,1117,1828,437.74
2027926,1117,1829,411.99
2027927,1117,1830,592.24
2027928,1117,1831,-999
2027929,1117,1832,523.04
2027930,1117,1833,521.43
2027931,1117,1834,495.68
2027932,1117,1835,481.19
2027933,1117,1836,482.8
2027934,1117,1837,437.74
2027935,1117,1838,424.87
2027936,1117,1839,421.65
2027937,1117,1840,428.09
2027938,1117,1841,418.43
2027939,1117,1842,405.55
2027940,1117,1843,405.55
2027941,1117,1844,410.38
2027942,1117,1845,421.65
2027943,1117,1846,434.52
2027944,1117,1847,440.96
2027945,1117,1848,558.44
2027946,1117,1849,532.69
2027947,1117,1850,498.9
2027948,1117,1851,481.19
2027949,1117,1852,479.58
2027950,1117,1853,445.79
2027951,1117,1854,453.84
2027952,1117,1855,442.57
2027953,1117,1856,432.91
2027954,1117,1857,421.65
2027955,1117,1858,415.21
2027956,1117,1859,423.26
2027957,1117,1860,432.91
2027958,1117,1861,431.3
2027959,1117,1862,436.13
2027960,1117,1863,458.66
2027961,1117,1864,458.66
2027962,1117,1865,465.1
2027963,1117,1866,477.98
2027964,1117,1867,711.33
2027965,1117,1868,550.4
2027966,1117,1869,532.69
2027967,1117,1870,495.68
2027968,1117,1871,482.8
2027969,1117,1872,457.05
2027970,1117,1873,445.79
2027971,1117,1874,460.27
2027972,1117,1875,437.74
2027973,1117,1876,445.79
2027974,1117,1877,444.18
2027975,1117,1878,426.48
2027976,1117,1879,432.91
2027977,1117,1880,447.4
2027978,1117,1881,460.27
2027979,1117,1882,453.84
2027980,1117,1883,458.66
2027981,1117,1884,476.37
2027982,1117,1885,486.02
2027983,1117,1886,-999
2027984,1117,1887,712.94
2027985,1117,1888,698.46
2027986,1117,1889,695.24
2027987,1117,1890,677.53
2027988,1117,1891,534.3
2027989,1117,1892,514.99
2027990,1117,1893,516.6
2027991,1117,1894,492.46
2027992,1117,1895,481.19
2027993,1117,1896,460.27
2027994,1117,1897,466.71
2027995,1117,1898,449.01
2027996,1117,1899,450.62
2027997,1117,1900,442.57
2027998,1117,1901,439.35
2027999,1117,1902,450.62
2028000,1117,1903,449.01
2028001,1117,1904,457.05
2028002,1117,1905,469.93
2028003,1117,1906,476.37
2028004,1117,1907,642.13
2028005,1117,1908,-999
2028006,1117,1909,680.75
2028007,1117,1910,671.1
2028008,1117,1911,675.92
2028009,1117,1912,526.26
2028010,1117,1913,511.77
