id,x,y,x,y
1,-5.206234056,49.94518913,170,10
3,-5.497544575,50.11671563,150,30
4,-5.218229092,50.12480157,170,30
5,-4.938791813,50.13221626,190,30
9,-5.230345928,50.30440632,170,50
10,-4.949860442,50.31186813,190,50
11,-4.669262175,50.31865376,210,50
12,-4.388561788,50.3247626,230,50
13,-4.107769963,50.33019408,250,50
14,-3.826897406,50.33494772,270,50
15,-3.545954841,50.33902307,290,50
17,-4.961041855,50.49151264,190,70
18,-4.679383245,50.49834146,210,70
19,-4.39762115,50.50448918,230,70
20,-4.115766398,50.50995525,250,70
21,-3.833829834,50.51473915,270,70
22,-3.551822327,50.51884046,290,70
27,-4.689607801,50.6780221,210,90
28,-4.406773175,50.684209,230,90
29,-4.123844646,50.68970991,250,90
30,-3.840833208,50.69452433,270,90
31,-3.557749875,50.69865179,290,90
32,-3.274605676,50.70209193,310,90
33,-2.991411658,50.70484442,330,90
34,-2.708178879,50.70690902,350,90
35,-2.424918406,50.70828552,370,90
36,-2.141641315,50.7089738,390,90
37,-1.858358685,50.7089738,410,90
38,-1.575081594,50.70828552,430,90
39,-1.291821121,50.70690902,450,90
45,-4.416019105,50.86392206,230,110
46,-4.132005807,50.86945809,250,110
47,-3.847908482,50.87430323,270,110
48,-3.563738289,50.87845705,290,110
49,-3.27950641,50.88191916,310,110
50,-2.995224038,50.88468924,330,110
51,-2.710902382,50.88676702,350,110
52,-2.426552658,50.88815231,370,110
53,-2.142186091,50.88884499,390,110
54,-1.857813909,50.88884499,410,110
55,-1.573447342,50.88815231,430,110
56,-1.289097618,50.88676702,450,110
57,-1.004775962,50.88468924,470,110
58,-0.72049359,50.88191916,490,110
59,-0.436261711,50.87845705,510,110
60,-0.152091518,50.87430323,530,110
61,0.132005807,50.86945809,550,110
62,0.416019105,50.86392206,570,110
63,0.699937234,50.85769568,590,110
65,-4.425360208,51.04362835,230,130
66,-4.140251,51.04919975,250,130
67,-3.855056624,51.05407587,270,130
68,-3.569788393,51.05825625,290,130
69,-3.284457638,51.0617405,310,130
70,-2.999075705,51.06452829,330,130
71,-2.713653954,51.06661936,350,130
72,-2.428203754,51.06801351,370,130
73,-2.142736482,51.06871063,390,130
74,-1.857263518,51.06871063,410,130
75,-1.571796246,51.06801351,430,130
76,-1.286346046,51.06661936,450,130
77,-1.000924295,51.06452829,470,130
78,-0.715542362,51.0617405,490,130
79,-0.430211607,51.05825625,510,130
80,-0.144943376,51.05407587,530,130
81,0.140251,51.04919975,550,130
82,0.425360208,51.04362835,570,130
83,0.710372957,51.03736219,590,130
84,0.995277981,51.03040185,610,130
86,-4.148581364,51.22893491,250,150
87,-3.862278625,51.23384224,270,150
88,-3.575901024,51.23804938,290,150
89,-3.289460046,51.24155594,310,150
90,-3.002967191,51.24436158,330,150
91,-2.716433975,51.24646605,350,150
92,-2.429871922,51.24786913,370,150
93,-2.143292564,51.24857071,390,150
94,-1.856707436,51.24857071,410,150
95,-1.570128078,51.24786913,430,150
96,-1.283566025,51.24646605,450,150
97,-0.997032809,51.24436158,470,150
98,-0.710539954,51.24155594,490,150
99,-0.424098976,51.23804938,510,150
100,-0.137721375,51.23384224,530,150
101,0.148581364,51.22893491,550,150
102,0.434797774,51.22332786,570,150
103,0.72091641,51.2170216,590,150
104,1.006925854,51.21001674,610,150
105,1.292814713,51.20231394,630,150
107,-3.582077035,51.41783645,290,170
108,-3.294514332,51.42136549,310,170
109,-3.006899041,51.42418913,330,170
110,-2.719242835,51.42630709,350,170
111,-2.431557396,51.42771918,370,170
112,-2.143854415,51.42842525,390,170
113,-1.856145585,51.42842525,410,170
114,-1.568442604,51.42771918,430,170
115,-1.280757165,51.42630709,450,170
116,-0.993100959,51.42418913,470,170
117,-0.705485668,51.42136549,490,170
118,-0.417922965,51.41783645,510,170
119,-0.130424508,51.41360234,530,170
120,0.15699806,51.40866356,550,170
121,0.444333116,51.40302057,570,170
122,0.731569061,51.39667392,590,170
123,1.018694318,51.38962419,610,170
124,1.30569734,51.38187207,630,170
127,-4.165502271,51.58838568,250,190
128,-3.87694825,51.59335616,270,190
129,-3.588317295,51.59761746,290,190
130,-3.299621208,51.60116916,310,190
131,-3.010871808,51.60401093,330,190
132,-2.722080929,51.60614249,350,190
133,-2.433260414,51.60756365,370,190
134,-2.144422114,51.60827426,390,190
135,-1.855577886,51.60827426,410,190
