id,x,y
1,170,10
2,150,30
3,170,30
4,190,30
5,170,50
6,190,50
7,210,50
8,230,50
9,250,50
10,270,50
11,290,50
12,190,70
13,210,70
14,230,70
15,250,70
16,270,70
17,290,70
18,210,90
19,230,90
20,250,90
21,270,90
22,290,90
23,310,90
24,330,90
25,350,90
26,370,90
27,390,90
28,410,90
29,430,90
30,450,90
31,230,110
32,250,110
33,270,110
34,290,110
35,310,110
36,330,110
37,350,110
38,370,110
39,390,110
40,410,110
41,430,110
42,450,110
43,470,110
44,490,110
45,510,110
46,530,110
47,550,110
48,570,110
49,590,110
50,230,130
51,250,130
52,270,130
53,290,130
54,310,130
55,330,130
56,350,130
57,370,130
58,390,130
59,410,130
60,430,130
61,450,130
62,470,130
63,490,130
64,510,130
65,530,130
66,550,130
67,570,130
68,590,130
69,610,130
70,250,150
71,270,150
72,290,150
73,310,150
74,330,150
75,350,150
76,370,150
77,390,150
78,410,150
79,430,150
80,450,150
81,470,150
82,490,150
83,510,150
84,530,150
85,550,150
86,570,150
87,590,150
88,610,150
89,630,150
90,290,170
91,310,170
92,330,170
93,350,170
94,370,170
95,390,170
96,410,170
97,430,170
98,450,170
99,470,170
100,490,170
101,510,170
102,530,170
103,550,170
104,570,170
105,590,170
106,610,170
107,630,170
108,250,190
109,270,190
110,290,190
111,310,190
112,330,190
113,350,190
114,370,190
115,390,190
116,410,190
117,430,190
118,450,190
119,470,190
120,490,190
121,510,190
122,530,190
123,550,190
124,570,190
125,590,190
126,610,190
127,170,210
128,190,210
129,210,210
130,230,210
131,250,210
132,270,210
133,290,210
134,310,210
135,330,210
136,350,210
137,370,210
138,390,210
139,410,210
140,430,210
141,450,210
142,470,210
143,490,210
144,510,210
145,530,210
146,550,210
147,570,210
148,590,210
149,610,210
150,170,230
151,190,230
152,210,230
153,230,230
154,250,230
155,270,230
156,290,230
157,310,230
158,330,230
159,350,230
160,370,230
161,390,230
162,410,230
163,430,230
164,450,230
165,470,230
166,490,230
167,510,230
168,530,230
169,550,230
170,570,230
171,590,230
172,610,230
173,630,230
174,190,250
175,210,250
176,230,250
177,250,250
178,270,250
179,290,250
180,310,250
181,330,250
182,350,250
183,370,250
184,390,250
185,410,250
186,430,250
187,450,250
188,470,250
189,490,250
190,510,250
191,530,250
192,550,250
193,570,250
194,590,250
195,610,250
196,630,250
197,250,270
198,270,270
199,290,270
200,310,270
201,330,270
202,350,270
203,370,270
204,390,270
205,410,270
206,430,270
207,450,270
208,470,270
209,490,270
210,510,270
211,530,270
212,550,270
213,570,270
214,590,270
215,610,270
216,630,270
217,650,270
218,270,290
219,290,290
220,310,290
221,330,290
222,350,290
223,370,290
224,390,290
225,410,290
226,430,290
227,450,290
228,470,290
229,490,290
230,510,290
231,530,290
232,550,290
233,570,290
234,590,290
235,610,290
236,630,290
237,650,290
238,270,310
239,290,310
240,310,310
241,330,310
