id,country,region,county,district
1,-1,-1,-1,-1
2,0,7,42,88
3,0,7,42,88
4,0,7,42,88
5,0,7,42,88
6,0,7,42,88
7,0,7,49,289
8,0,7,49,289
9,-1,-1,-1,-1
10,0,7,42,88
11,0,7,42,88
12,0,7,42,88
13,0,7,42,88
14,0,7,49,289
15,0,7,49,289
16,0,7,49,289
17,-1,-1,-1,-1
18,0,7,42,88
19,0,7,42,88
20,0,7,42,88
21,0,7,49,356
22,0,7,49,289
23,0,7,49,325
24,-1,-1,-1,-1
25,0,7,51,241
26,0,7,51,241
27,0,6,75,171
28,0,7,42,88
29,0,7,42,88
30,0,7,42,88
31,0,7,49,356
32,0,7,49,356
33,0,7,49,325
34,0,7,49,109
35,0,7,49,109
36,0,7,51,357
37,0,7,51,357
38,0,7,51,241
39,0,7,51,238
40,0,6,70,208
41,0,6,75,171
42,0,6,75,171
43,0,6,165,65
44,0,6,60,352
45,0,6,60,120
46,-1,-1,-1,-1
47,0,7,49,337
48,0,7,49,337
49,0,7,49,199
50,0,7,49,199
51,0,7,49,199
52,0,7,136,298
53,0,7,136,298
54,0,7,51,357
55,0,7,51,215
56,0,7,51,110
57,0,6,70,208
58,0,6,70,367
59,0,6,70,367
60,0,6,165,65
61,0,6,165,165
62,0,6,165,331
63,0,6,60,352
64,0,6,60,352
65,0,6,60,255
66,0,6,77,272
67,0,7,49,337
68,0,7,49,214
69,0,7,49,214
70,0,7,136,363
71,0,7,136,324
72,0,7,136,267
73,0,7,136,298
74,0,7,136,298
75,0,7,167,366
76,0,7,167,366
77,0,6,70,328
78,0,6,70,367
79,0,6,70,112
80,0,6,165,65
81,0,6,165,165
82,0,6,165,201
83,0,6,60,352
84,0,6,60,255
85,0,6,77,10
86,0,6,77,272
87,0,6,77,272
88,-1,-1,-1,-1
89,0,7,49,214
90,0,7,49,214
91,0,7,136,363
92,0,7,136,363
93,0,7,136,267
94,0,7,136,196
95,0,7,136,196
96,0,7,167,366
97,0,7,167,366
98,0,6,70,328
99,0,6,70,18
100,0,6,70,18
101,0,6,149,351
102,0,6,149,144
103,0,6,149,323
104,0,6,77,270
105,0,6,77,189
106,0,6,77,189
107,0,6,77,10
108,0,6,77,102
109,-1,-1,-1,-1
110,3,8,16,38
111,3,8,16,38
112,0,7,100,223
113,0,7,100,223
114,0,7,6,20
