id,x,y
1,90,-72
2,170,-72
3,130,-52
4,150,-52
5,170,-52
6,190,-52
7,270,-52
8,290,-52
9,150,-32
10,170,-32
11,190,-32
12,210,-32
13,230,-32
14,250,-32
15,270,-32
16,290,-32
17,170,-12
18,190,-12
19,210,-12
20,230,-12
21,250,-12
22,270,-12
23,290,-12
24,370,-12
25,390,-12
26,410,-12
27,450,-12
28,190,8
29,210,8
30,230,8
31,250,8
32,270,8
33,290,8
34,310,8
35,330,8
36,350,8
37,370,8
38,390,8
39,410,8
40,430,8
41,450,8
42,470,8
43,490,8
44,550,8
45,570,8
46,210,28
47,230,28
48,250,28
49,270,28
50,290,28
51,310,28
52,330,28
53,350,28
54,370,28
55,390,28
56,410,28
57,430,28
58,450,28
59,470,28
60,490,28
61,510,28
62,530,28
63,550,28
64,570,28
65,590,28
66,610,28
67,230,48
68,250,48
69,270,48
70,290,48
71,310,48
72,330,48
73,350,48
74,370,48
75,390,48
76,410,48
77,430,48
78,450,48
79,470,48
80,490,48
81,510,48
82,530,48
83,550,48
84,570,48
85,590,48
86,610,48
87,630,48
88,210,68
89,250,68
90,270,68
91,290,68
92,310,68
93,330,68
94,350,68
95,370,68
96,390,68
97,410,68
98,430,68
99,450,68
100,470,68
101,490,68
102,510,68
103,530,68
104,550,68
105,570,68
106,590,68
107,610,68
108,630,68
109,270,88
110,290,88
111,310,88
112,330,88
113,350,88
114,370,88
115,390,88
116,410,88
117,430,88
118,450,88
119,470,88
120,490,88
121,510,88
122,530,88
123,550,88
124,570,88
125,590,88
126,610,88
127,630,88
128,190,108
129,210,108
130,250,108
131,270,108
132,290,108
133,310,108
134,330,108
135,350,108
136,370,108
137,390,108
138,410,108
139,430,108
140,450,108
141,470,108
142,490,108
143,510,108
144,530,108
145,550,108
146,570,108
147,590,108
148,610,108
149,170,128
150,190,128
151,210,128
152,230,128
153,250,128
154,270,128
155,290,128
156,310,128
157,330,128
158,350,128
159,370,128
160,390,128
161,410,128
162,430,128
163,450,128
164,470,128
165,490,128
166,510,128
167,530,128
168,550,128
169,570,128
170,590,128
171,610,128
172,630,128
173,170,148
174,190,148
175,210,148
176,230,148
177,250,148
178,270,148
179,290,148
180,310,148
181,330,148
182,350,148
183,370,148
184,390,148
185,410,148
186,430,148
187,450,148
188,470,148
189,490,148
190,510,148
191,530,148
192,550,148
193,570,148
194,590,148
195,610,148
196,630,148
197,190,168
198,210,168
199,230,168
200,250,168
201,270,168
202,290,168
203,310,168
204,330,168
205,350,168
206,370,168
207,390,168
208,410,168
209,430,168
210,450,168
211,470,168
212,490,168
213,510,168
214,530,168
215,550,168
216,570,168
217,590,168
218,610,168
219,630,168
220,650,168
221,250,188
222,270,188
223,290,188
224,310,188
225,330,188
226,350,188
227,370,188
228,390,188
229,410,188
230,430,188
231,450,188
232,470,188
233,490,188
234,510,188
235,530,188
236,550,188
237,570,188
238,590,188
239,610,188
240,630,188
241,650,188
242,250,208
243,270,208
244,290,208
245,310,208
246,330,208
247,350,208
248,370,208
249,390,208
250,410,208
251,430,208
252,450,208
253,470,208
254,490,208
255,510,208
256,530,208
257,550,208
258,570,208
259,590,208
260,610,208
261,630,208
262,650,208
263,250,228
264,270,228
265,290,228
266,310,228
267,330,228
268,350,228
269,370,228
270,390,228
271,410,228
272,430,228
273,450,228
274,470,228
275,490,228
276,510,228
277,530,228
278,550,228
279,570,228
280,590,228
281,610,228
282,630,228
283,650,228
284,210,248
285,230,248
286,250,248
287,270,248
288,290,248
289,310,248
290,330,248
291,350,248
292,370,248
293,390,248
294,410,248
295,430,248
296,450,248
297,470,248
298,490,248
299,510,248
300,530,248
301,550,248
302,570,248
303,590,248
304,610,248
305,630,248
306,650,248
307,190,268
308,210,268
309,230,268
310,250,268
311,270,268
312,290,268
313,310,268
314,330,268
315,350,268
316,370,268
317,390,268
318,410,268
319,430,268
320,450,268
321,470,268
322,490,268
323,510,268
324,530,268
325,550,268
326,570,268
327,590,268
328,610,268
329,630,268
330,190,288
331,210,288
332,230,288
333,250,288
334,270,288
335,290,288
336,310,288
337,330,288
338,350,288
339,370,288
340,390,288
341,410,288
342,430,288
343,450,288
344,470,288
345,490,288
346,510,288
347,530,288
348,550,288
349,210,308
350,230,308
351,250,308
352,270,308
353,290,308
354,310,308
355,330,308
356,350,308
357,370,308
358,390,308
359,410,308
360,430,308
361,450,308
362,470,308
363,490,308
364,510,308
365,530,308
366,550,308
367,230,328
368,250,328
369,270,328
370,290,328
371,310,328
372,330,328
