id,country,region,county,district
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,0,7,42,88
9,0,7,42,88
10,0,7,42,88
11,-1,-1,-1,-1
12,0,7,42,88
13,0,7,42,88
14,-1,-1,-1,-1
15,0,7,42,88
16,0,7,42,88
17,0,7,42,88
18,0,7,42,88
19,-1,-1,-1,-1
20,0,7,42,88
21,0,7,42,88
22,0,7,42,88
23,-1,-1,-1,-1
24,0,7,42,88
25,0,7,42,88
26,0,7,42,88
27,0,7,42,88
28,0,7,42,88
29,0,7,42,88
30,0,7,42,88
31,0,7,42,88
32,0,7,42,88
33,0,7,42,88
34,0,7,42,88
35,0,7,42,88
36,0,7,42,88
37,0,7,42,88
38,0,7,42,88
39,-1,-1,-1,-1
40,0,7,42,88
41,0,7,42,88
42,0,7,42,88
43,0,7,42,88
44,0,7,42,88
45,0,7,42,88
46,0,7,42,88
47,0,7,42,88
48,0,7,42,88
49,0,7,42,88
50,0,7,42,88
51,0,7,42,88
52,-1,-1,-1,-1
53,0,7,49,289
54,0,7,49,289
55,0,7,49,289
56,-1,-1,-1,-1
57,0,7,42,88
58,-1,-1,-1,-1
59,0,7,42,88
60,0,7,42,88
61,0,7,42,88
62,0,7,42,88
63,0,7,42,88
64,0,7,42,88
65,0,7,42,88
66,0,7,42,88
67,0,7,42,88
68,-1,-1,-1,-1
69,-1,-1,-1,-1
70,0,7,49,289
71,0,7,49,289
72,0,7,49,289
73,-1,-1,-1,-1
74,0,7,42,88
75,0,7,42,88
76,0,7,42,88
77,0,7,42,88
78,0,7,42,88
79,0,7,42,88
80,0,7,42,88
81,0,7,42,88
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,0,7,49,289
86,0,7,49,289
87,0,7,49,289
88,0,7,49,289
89,0,7,49,289
90,0,7,49,289
91,0,7,49,289
92,0,7,42,88
93,0,7,42,88
94,0,7,42,88
95,0,7,42,88
96,0,7,42,88
97,0,7,42,88
98,0,7,42,88
99,0,7,42,88
100,0,7,42,88
101,0,7,42,88
102,0,7,42,88
103,0,7,42,88
104,0,7,42,88
105,0,7,42,88
106,-1,-1,-1,-1
107,0,7,35,77
108,0,7,49,289
109,0,7,49,289
110,0,7,49,289
111,0,7,49,289
112,0,7,49,289
113,0,7,49,289
114,0,7,49,289
115,0,7,49,289
116,0,7,42,88
117,0,7,42,88
118,0,7,42,88
119,0,7,42,88
120,0,7,42,88
121,0,7,42,88
122,0,7,42,88
123,0,7,42,88
124,0,7,42,88
125,0,7,42,88
126,0,7,42,88
127,0,7,42,88
128,0,7,42,88
129,0,7,42,88
130,0,7,35,77
131,0,7,35,77
132,0,7,49,289
133,0,7,49,289
134,0,7,49,289
135,0,7,49,289
136,0,7,49,289
137,0,7,49,289
138,0,7,49,289
139,0,7,155,335
140,-1,-1,-1,-1
141,0,7,42,88
142,0,7,42,88
143,0,7,42,88
144,0,7,42,88
145,0,7,42,88
146,0,7,42,88
147,0,7,42,88
148,0,7,42,88
149,0,7,42,88
150,0,7,42,88
151,0,7,42,88
152,0,7,42,88
153,0,7,42,88
154,0,7,49,77
155,0,7,49,289
156,0,7,49,289
157,0,7,49,289
158,0,7,49,289
159,0,7,49,289
160,0,7,49,289
161,0,7,49,289
162,0,7,155,335
163,0,7,155,335
164,-1,-1,-1,-1
165,0,7,42,88
166,0,7,42,88
167,0,7,42,88
168,0,7,42,88
169,0,7,42,88
170,0,7,42,88
171,0,7,42,88
172,0,7,42,88
173,0,7,42,88
174,0,7,42,88
175,0,7,42,88
176,0,7,42,88
177,0,7,49,356
178,0,7,49,356
179,0,7,49,356
180,0,7,49,289
181,0,7,49,289
182,0,7,49,289
183,0,7,49,289
184,0,7,49,325
185,0,7,49,325
186,0,7,155,335
187,-1,-1,-1,-1
188,-1,-1,-1,-1
189,0,7,42,88
190,0,7,42,88
191,0,7,42,88
192,0,7,42,88
193,0,7,42,88
194,0,7,42,88
195,0,7,42,88
196,0,7,42,88
197,0,7,42,88
198,0,7,42,88
199,0,7,42,88
200,0,7,42,88
201,0,7,49,356
202,0,7,49,356
203,0,7,49,356
204,0,7,49,356
205,0,7,49,356
206,0,7,49,325
207,0,7,49,325
208,0,7,49,325
209,0,7,49,325
210,0,7,49,325
211,0,7,49,325
212,-1,-1,-1,-1
213,-1,-1,-1,-1
214,0,7,42,88
215,0,7,42,88
216,0,7,42,88
217,0,7,42,88
218,0,7,42,88
219,0,7,42,88
220,0,7,42,88
221,0,7,42,88
222,0,7,42,88
223,0,7,42,88
224,0,7,49,356
225,0,7,49,356
226,0,7,49,356
227,0,7,49,356
228,0,7,49,356
229,0,7,49,356
230,0,7,49,325
231,0,7,49,325
232,0,7,49,325
233,0,7,49,325
234,0,7,49,325
235,0,7,49,325
236,-1,-1,-1,-1
237,-1,-1,-1,-1
238,0,7,51,241
239,0,7,51,241
240,0,7,51,241
241,-1,-1,-1,-1
242,0,6,75,171
243,0,6,75,171
244,-1,-1,-1,-1
245,0,7,42,88
246,0,7,42,88
247,0,7,42,88
248,0,7,42,88
249,0,7,42,88
250,0,7,42,88
251,0,7,42,88
252,0,7,42,88
253,0,7,42,88
254,0,7,49,356
255,0,7,49,356
256,0,7,49,356
257,0,7,49,356
258,0,7,49,356
259,0,7,49,356
260,0,7,49,325
261,0,7,49,325
262,0,7,49,325
263,0,7,49,325
264,0,7,49,325
265,0,7,49,325
266,0,7,49,109
267,0,7,49,109
268,-1,-1,-1,-1
269,0,7,51,357
270,0,7,51,357
271,0,7,51,357
272,0,7,51,357
273,0,7,51,241
274,0,7,51,241
275,0,7,51,241
276,0,7,51,241
277,0,7,51,241
278,-1,-1,-1,-1
279,0,6,75,171
280,0,6,75,171
281,0,6,75,171
282,0,6,75,171
283,-1,-1,-1,-1
284,0,7,42,88
285,0,7,42,88
286,0,7,42,88
287,0,7,42,88
288,0,7,42,88
289,0,7,42,88
290,0,7,49,337
291,0,7,49,356
292,0,7,49,356
293,0,7,49,356
294,0,7,49,356
295,0,7,49,356
296,0,7,49,356
297,0,7,49,356
298,0,7,49,325
299,0,7,49,325
300,0,7,49,325
301,0,7,49,325
302,0,7,49,325
303,0,7,49,109
304,0,7,49,109
305,0,7,49,109
306,0,7,49,109
307,0,7,49,109
308,-1,-1,-1,-1
309,-1,-1,-1,-1
310,0,7,51,357
311,0,7,51,357
312,0,7,51,357
313,0,7,51,357
314,0,7,51,357
315,0,7,51,357
316,0,7,51,241
317,0,7,51,241
318,0,7,51,241
319,0,7,51,241
320,0,7,51,241
321,0,7,111,238
322,0,6,75,171
323,0,6,75,171
324,0,6,75,171
325,0,6,75,171
326,0,6,75,171
327,0,6,75,171
328,0,6,75,171
329,-1,-1,-1,-1
330,0,7,42,88
331,0,7,42,88
332,0,7,42,88
333,0,7,42,88
334,0,7,42,88
335,0,7,49,337
336,0,7,49,337
337,0,7,49,356
338,0,7,49,356
339,0,7,49,356
340,0,7,49,356
341,0,7,49,356
342,0,7,49,356
343,0,7,49,356
344,0,7,49,325
345,0,7,49,325
346,0,7,49,128
347,0,7,49,128
348,0,7,49,109
349,0,7,49,109
350,0,7,49,109
351,0,7,49,109
352,0,7,49,109
353,0,7,49,109
354,0,7,49,109
355,0,7,51,357
356,0,7,51,357
357,0,7,51,357
358,0,7,51,357
359,0,7,51,357
360,0,7,51,357
361,0,7,51,357
362,0,7,51,357
363,0,7,51,357
364,0,7,51,241
365,0,7,51,241
366,0,7,51,241
367,0,7,51,241
368,0,7,111,238
369,0,7,111,238
370,0,7,13,31
371,0,7,51,68
372,0,7,51,68
373,0,6,70,208
374,0,6,70,208
375,-1,-1,-1,-1
376,0,6,75,171
377,0,6,75,171
378,0,6,75,171
379,0,6,75,171
380,0,6,75,171
381,-1,-1,-1,-1
382,-1,-1,-1,-1
383,-1,-1,-1,-1
384,0,7,42,88
385,0,7,42,88
386,0,7,42,88
387,0,7,42,88
388,0,7,49,337
389,0,7,49,337
390,0,7,49,356
391,0,7,49,356
392,0,7,49,356
393,0,7,49,356
394,0,7,49,356
395,0,7,49,356
396,0,7,49,199
397,0,7,49,199
398,0,7,49,199
399,0,7,49,109
400,0,7,49,109
401,0,7,49,109
402,0,7,49,109
403,0,7,49,109
404,0,7,49,109
405,0,7,49,109
406,0,7,49,109
407,0,7,49,109
408,0,7,51,357
409,0,7,51,357
410,0,7,51,357
411,0,7,51,357
412,0,7,51,357
413,0,7,51,357
414,0,7,51,357
415,0,7,51,357
416,0,7,51,357
417,0,7,51,215
418,0,7,51,241
419,0,7,51,241
420,0,7,51,110
421,0,7,111,238
422,0,7,13,31
423,0,7,51,68
424,0,7,51,68
425,0,6,70,208
426,0,6,70,208
427,0,6,70,208
428,0,6,70,208
429,0,6,70,208
430,-1,-1,-1,-1
431,0,6,75,171
432,-1,-1,-1,-1
433,0,6,70,140
434,0,6,36,78
435,0,6,70,158
436,0,6,165,65
437,0,6,165,65
438,0,6,165,65
439,0,6,165,8
440,-1,-1,-1,-1
441,0,6,60,183
442,0,6,60,352
443,0,6,60,120
444,-1,-1,-1,-1
445,0,7,42,88
446,0,7,42,88
447,0,7,49,337
448,0,7,49,337
449,0,7,49,337
450,0,7,49,337
451,0,7,49,356
452,0,7,49,356
453,0,7,49,356
454,0,7,49,356
455,0,7,49,199
456,0,7,49,199
457,0,7,49,199
458,0,7,49,199
459,0,7,49,199
460,0,7,49,199
461,0,7,49,109
462,0,7,49,109
463,0,7,49,109
464,0,7,49,109
465,0,7,49,109
466,0,7,49,109
467,0,7,49,109
468,0,7,51,357
469,0,7,51,357
470,0,7,51,357
471,0,7,51,357
472,0,7,51,357
473,0,7,51,357
474,0,7,51,357
475,0,7,51,357
476,0,7,51,357
477,0,7,51,215
478,0,7,51,215
479,0,7,51,215
480,0,7,51,110
481,0,7,51,110
482,0,7,51,110
483,0,7,51,110
484,0,6,70,208
485,0,6,70,208
486,0,6,70,208
487,0,6,70,208
488,0,6,70,208
489,0,6,70,208
490,0,6,70,208
491,-1,-1,-1,-1
492,0,6,70,130
493,0,6,36,78
494,0,6,36,78
495,0,6,70,158
496,0,6,165,65
497,0,6,165,65
498,0,6,165,65
499,0,6,165,8
500,0,6,165,8
501,0,6,165,8
502,0,6,165,8
503,0,6,165,373
504,0,6,165,373
505,0,6,165,3
506,-1,-1,-1,-1
507,0,6,153,331
508,0,6,153,331
509,0,6,60,183
510,0,6,60,183
511,0,6,60,352
512,0,6,60,352
513,0,6,60,120
514,0,6,60,352
515,-1,-1,-1,-1
516,0,7,42,88
517,0,7,42,88
518,0,7,49,337
519,0,7,49,337
520,0,7,49,337
521,0,7,49,337
522,0,7,49,337
523,0,7,49,356
524,0,7,49,356
525,0,7,49,337
526,0,7,49,199
527,0,7,49,199
528,0,7,49,199
529,0,7,49,199
530,0,7,49,199
531,0,7,49,199
532,0,7,49,199
533,0,7,49,199
534,0,7,49,109
535,0,7,49,109
536,0,7,49,109
537,0,7,49,109
538,0,7,136,298
539,0,7,136,298
540,0,7,136,298
541,0,7,51,357
542,0,7,51,357
543,0,7,51,357
544,0,7,51,357
545,0,7,51,357
546,0,7,51,215
547,0,7,51,215
548,0,7,51,215
549,0,7,51,215
550,0,7,51,215
551,0,7,51,215
552,0,7,51,110
553,0,7,51,110
554,0,7,51,110
555,0,6,70,208
556,0,6,70,208
557,0,6,70,208
558,0,6,70,208
559,0,6,70,208
560,0,6,70,208
561,0,6,70,121
562,0,6,70,130
563,0,6,70,130
564,0,6,70,130
565,0,6,70,78
566,0,6,70,158
567,0,6,165,65
568,0,6,165,65
569,0,6,165,65
570,0,6,165,65
571,0,6,165,8
572,0,6,165,8
573,0,6,165,8
574,0,6,165,8
575,0,6,165,3
576,0,6,165,3
577,0,6,153,331
578,0,6,153,331
579,0,6,153,331
580,0,6,60,183
581,0,6,60,183
582,0,6,60,352
583,0,6,60,352
584,0,6,60,352
585,0,6,60,352
586,0,6,60,255
587,0,6,60,255
588,0,6,60,157
589,-1,-1,-1,-1
590,0,7,42,88
591,0,7,42,88
592,0,7,49,337
593,0,7,49,337
594,0,7,49,337
595,0,7,49,337
596,0,7,49,337
597,0,7,49,337
598,0,7,49,337
599,0,7,49,337
600,0,7,49,199
601,0,7,49,214
602,0,7,49,199
603,0,7,49,199
604,0,7,49,199
605,0,7,49,199
606,0,7,49,199
607,0,7,49,199
608,0,7,49,199
609,0,7,49,199
610,0,7,136,324
611,0,7,136,298
612,0,7,136,298
613,0,7,136,298
614,0,7,136,298
615,0,7,136,298
616,0,7,136,298
617,0,7,136,298
618,0,7,51,357
619,0,7,51,357
620,0,7,51,357
621,0,7,51,215
622,0,7,51,215
623,0,7,51,215
624,0,7,51,215
625,0,7,51,110
626,0,7,51,110
627,0,7,51,110
628,0,7,51,110
629,0,6,70,208
630,0,6,70,208
631,0,6,70,208
632,0,6,70,208
633,0,6,70,208
634,0,6,37,79
635,0,6,37,79
636,0,6,70,121
637,0,6,70,367
638,0,6,70,367
639,0,6,70,367
640,0,6,70,112
641,0,6,165,65
642,0,6,165,65
643,0,6,165,65
644,0,6,165,65
645,0,6,165,65
646,0,6,165,8
647,0,6,165,165
648,0,6,165,165
649,0,6,165,165
650,0,6,165,165
651,0,6,165,201
652,0,6,165,201
653,0,6,60,183
654,0,6,60,183
655,0,6,60,183
656,0,6,60,352
657,0,6,60,352
658,0,6,60,352
659,0,6,60,352
660,0,6,60,352
661,0,6,60,255
662,0,6,60,157
663,0,6,60,255
664,0,7,42,88
665,0,7,49,337
666,0,7,49,337
667,0,7,49,337
668,0,7,49,337
669,0,7,49,337
670,0,7,49,337
671,0,7,49,337
672,0,7,49,214
673,0,7,49,214
674,0,7,49,214
675,0,7,49,214
676,0,7,49,214
677,0,7,49,214
678,0,7,49,199
679,0,7,49,199
680,0,7,49,199
681,0,7,49,199
682,0,7,49,199
683,0,7,136,324
684,0,7,136,324
685,0,7,136,324
686,0,7,136,298
687,0,7,136,298
688,0,7,136,298
689,0,7,136,298
690,0,7,136,298
691,0,7,136,298
692,0,7,51,357
693,0,7,51,357
694,0,7,51,215
695,0,7,51,215
696,0,7,51,215
697,0,7,51,215
698,0,7,51,215
699,0,7,51,110
700,0,7,51,110
701,0,7,51,110
702,0,6,70,208
703,0,6,70,208
704,0,6,70,208
705,0,6,70,208
706,0,6,70,208
707,0,6,70,328
708,0,6,70,79
709,0,6,70,121
710,0,6,70,367
711,0,6,70,367
712,0,6,70,367
713,0,6,70,367
714,0,6,70,112
715,0,6,165,65
716,0,6,165,65
717,0,6,165,65
718,0,6,165,65
719,0,6,165,65
720,0,6,165,65
721,0,6,165,165
722,0,6,165,165
723,0,6,165,165
724,0,6,165,165
725,0,6,165,201
726,0,6,165,201
727,0,6,60,183
728,0,6,60,183
729,0,6,60,352
730,0,6,60,352
731,0,6,60,352
732,0,6,60,352
733,0,6,60,255
734,0,6,60,255
735,0,6,60,255
736,0,6,60,255
737,0,6,60,255
738,0,6,60,255
739,0,6,60,255
740,0,6,60,255
741,0,6,77,272
742,-1,-1,-1,-1
743,0,7,49,337
744,0,7,49,337
745,0,7,49,337
746,0,7,49,337
747,0,7,49,337
748,0,7,49,337
749,0,7,49,337
750,0,7,49,214
751,0,7,49,214
752,0,7,49,214
753,0,7,49,214
754,0,7,49,214
755,0,7,49,214
756,0,7,49,199
757,0,7,49,199
758,0,7,49,199
759,0,7,136,324
760,0,7,136,324
761,0,7,136,324
762,0,7,136,324
763,0,7,136,324
764,0,7,136,324
765,0,7,136,298
766,0,7,136,298
767,0,7,136,298
768,0,7,136,298
769,0,7,136,298
770,0,7,136,298
771,0,7,136,298
772,0,7,136,298
773,0,7,51,215
774,0,7,51,215
775,0,7,51,215
776,0,7,167,366
777,0,7,167,366
778,0,7,167,366
779,0,6,70,208
780,0,7,167,366
781,0,7,167,366
782,0,7,167,366
783,0,7,167,366
784,0,6,70,328
785,0,6,70,328
786,0,6,70,328
787,0,6,70,367
788,0,6,70,367
789,0,6,70,367
790,0,6,70,367
791,0,6,70,112
792,0,6,70,112
793,0,6,70,112
794,0,6,165,65
795,0,6,165,65
796,0,6,165,65
797,0,6,165,65
798,0,6,165,65
799,0,6,165,165
800,0,6,165,165
801,0,6,165,165
802,0,6,165,165
803,0,6,165,201
804,0,6,165,201
805,0,6,60,183
806,0,6,60,183
807,0,6,60,352
808,0,6,60,352
809,0,6,60,352
810,0,6,60,352
811,0,6,60,255
812,0,6,60,255
813,0,6,60,255
814,0,6,60,255
815,0,6,60,255
816,0,6,60,255
817,0,6,60,255
818,0,6,77,272
819,0,6,77,272
820,-1,-1,-1,-1
821,0,7,49,337
822,0,7,49,337
823,-1,-1,-1,-1
824,0,7,49,337
825,0,7,49,337
826,0,7,49,214
827,0,7,49,214
828,0,7,49,214
829,0,7,49,214
830,0,7,49,214
831,0,7,49,214
832,0,7,49,214
833,0,7,49,214
834,0,7,136,363
835,0,7,136,363
836,0,7,136,363
837,0,7,136,324
838,0,7,136,324
839,0,7,136,324
840,0,7,136,324
841,0,7,136,324
842,0,7,136,324
843,0,7,136,324
844,0,7,136,298
845,0,7,136,298
846,0,7,136,298
847,0,7,136,298
848,0,7,136,298
849,0,7,136,298
850,0,7,136,298
851,0,7,51,215
852,0,7,51,215
853,0,7,167,366
854,0,7,167,366
855,0,7,167,366
856,0,7,167,366
