id,x,y
1,87.5,-74.5
2,87.5,-69.5
3,92.5,-69.5
4,167.5,-69.5
5,172.5,-69.5
6,87.5,-64.5
7,92.5,-64.5
8,167.5,-64.5
9,172.5,-64.5
10,177.5,-64.5
11,132.5,-59.5
12,137.5,-59.5
13,142.5,-59.5
14,162.5,-59.5
15,167.5,-59.5
16,172.5,-59.5
17,177.5,-59.5
18,182.5,-59.5
19,132.5,-54.5
20,137.5,-54.5
21,142.5,-54.5
22,147.5,-54.5
23,152.5,-54.5
24,157.5,-54.5
25,162.5,-54.5
26,167.5,-54.5
27,172.5,-54.5
28,177.5,-54.5
29,137.5,-49.5
30,142.5,-49.5
31,147.5,-49.5
32,152.5,-49.5
33,157.5,-49.5
34,162.5,-49.5
35,167.5,-49.5
36,172.5,-49.5
37,177.5,-49.5
38,182.5,-49.5
39,187.5,-49.5
40,137.5,-44.5
41,142.5,-44.5
42,147.5,-44.5
43,152.5,-44.5
44,157.5,-44.5
45,162.5,-44.5
46,167.5,-44.5
47,172.5,-44.5
48,177.5,-44.5
49,182.5,-44.5
50,187.5,-44.5
51,192.5,-44.5
52,267.5,-44.5
53,272.5,-44.5
54,277.5,-44.5
55,282.5,-44.5
56,147.5,-39.5
57,152.5,-39.5
58,157.5,-39.5
59,162.5,-39.5
60,167.5,-39.5
61,172.5,-39.5
62,177.5,-39.5
63,182.5,-39.5
64,187.5,-39.5
65,192.5,-39.5
66,197.5,-39.5
67,202.5,-39.5
68,262.5,-39.5
69,267.5,-39.5
70,272.5,-39.5
71,277.5,-39.5
72,282.5,-39.5
73,162.5,-34.5
74,167.5,-34.5
75,172.5,-34.5
76,177.5,-34.5
77,182.5,-34.5
78,187.5,-34.5
79,192.5,-34.5
80,197.5,-34.5
81,202.5,-34.5
82,242.5,-34.5
83,247.5,-34.5
84,252.5,-34.5
85,257.5,-34.5
86,262.5,-34.5
87,267.5,-34.5
88,272.5,-34.5
89,277.5,-34.5
90,282.5,-34.5
91,287.5,-34.5
92,172.5,-29.5
93,177.5,-29.5
94,182.5,-29.5
95,187.5,-29.5
96,192.5,-29.5
97,197.5,-29.5
98,202.5,-29.5
99,207.5,-29.5
100,212.5,-29.5
101,217.5,-29.5
102,222.5,-29.5
103,227.5,-29.5
104,237.5,-29.5
105,242.5,-29.5
106,247.5,-29.5
107,252.5,-29.5
108,257.5,-29.5
109,262.5,-29.5
110,267.5,-29.5
111,272.5,-29.5
112,277.5,-29.5
113,282.5,-29.5
114,287.5,-29.5
115,292.5,-29.5
116,177.5,-24.5
117,182.5,-24.5
118,187.5,-24.5
119,192.5,-24.5
120,197.5,-24.5
121,202.5,-24.5
122,207.5,-24.5
123,212.5,-24.5
124,217.5,-24.5
125,222.5,-24.5
126,227.5,-24.5
127,232.5,-24.5
128,237.5,-24.5
129,242.5,-24.5
130,247.5,-24.5
131,252.5,-24.5
132,257.5,-24.5
133,262.5,-24.5
134,267.5,-24.5
135,272.5,-24.5
136,277.5,-24.5
137,282.5,-24.5
138,287.5,-24.5
139,292.5,-24.5
140,177.5,-19.5
141,182.5,-19.5
142,187.5,-19.5
143,192.5,-19.5
