id,UKERC7,UKERC9w,UKERC9
1,0,0,0
2,0.0312,0.0452,0.0492
3,0.1816,0.1516,0.2036
4,0.0092,0.008,0.01
5,0.0796,0.0732,0.0836
6,0.0708,0.0564,0.0744
7,0.4404,0.3624,0.498
8,0.6452,0.5604,0.7028
9,0.1312,0.13,0.1572
10,0.178,0.1848,0.2292
11,0.124,0.1244,0.148
12,0.0492,0.0504,0.058
13,0.0016,0.0016,0.0016
14,0.0112,0.014,0.0144
15,0.1024,0.084,0.1192
16,0.5156,0.4388,0.56
17,0.3616,0.3864,0.4552
18,0.3016,0.2988,0.3964
19,0.4396,0.3196,0.4932
20,0.3932,0.2692,0.5328
21,0.3824,0.3676,0.5216
22,0.3032,0.3776,0.524
23,0.1124,0.1044,0.132
24,0.0124,0.018,0.0192
25,0.0276,0.0404,0.0412
26,0.2704,0.2308,0.2768
27,0.4056,0.322,0.4168
28,0.318,0.3108,0.3868
29,0.2084,0.2292,0.3064
30,0.4772,0.3364,0.5524
31,0.744,0.6668,0.7704
32,0.356,0.2904,0.3936
33,0.0948,0.0604,0.106
34,0.0708,0.1132,0.1236
35,0.4368,0.3676,0.492
36,0.8472,0.7188,0.8712
37,0.702,0.6436,0.7328
38,0.4436,0.3216,0.4832
39,0.1652,0.2212,0.2788
40,0.1908,0.1636,0.2208
41,0.226,0.1868,0.238
42,0.0964,0.0808,0.1044
43,0.1064,0.1044,0.1284
44,0.0312,0.022,0.0312
45,0.782,0.6628,0.7844
46,0.6804,0.5972,0.7072
47,0.3092,0.2368,0.3428
48,0.2688,0.2488,0.2708
49,0.1288,0.102,0.1288
50,0.2812,0.2688,0.2836
51,0.3956,0.2968,0.3964
52,0.1272,0.124,0.16
53,0.0176,0.0196,0.0228
54,0,0,0
55,0.0484,0.0496,0.0496
56,0.5336,0.4564,0.5444
57,0.1716,0.1552,0.1804
58,0.206,0.158,0.212
59,0.2816,0.2344,0.2844
60,0.2068,0.184,0.2076
61,0.1708,0.1632,0.1712
62,0.1436,0.1124,0.1516
63,0.1584,0.1504,0.1976
64,0.0096,0.0108,0.0108
65,0.0016,0.0016,0.0016
66,0.1672,0.1676,0.1676
67,0.1408,0.1404,0.1408
68,0.1876,0.1872,0.1876
69,0.4148,0.3812,0.4204
70,0.662,0.708,0.7712
71,0.2192,0.1588,0.22
72,0.1772,0.16,0.186
73,0.0152,0.0148,0.0152
74,0.0028,0.0028,0.0028
75,0.1084,0.1084,0.1084
76,0.3372,0.3356,0.3384
77,0.7188,0.7164,0.7596
78,0.5604,0.5108,0.57
79,0.2016,0.1728,0.202
80,0.1264,0.1208,0.1268
81,0.3612,0.3344,0.4032
82,0.8192,0.8504,0.8812
83,0.41,0.4624,0.488
84,0.3212,0.2364,0.368
85,0.0488,0.046,0.0492
86,0.0264,0.022,0.0284
87,0.0292,0.0256,0.0292
88,0.6408,0.6296,0.6896
89,0.8064,0.7988,0.83
90,0.3296,0.284,0.3408
91,0.2676,0.2716,0.3024
92,0.0036,0.0028,0.004
93,0.7052,0.424,0.7144
94,0.712,0.4432,0.7348
95,0.5152,0.3544,0.5272
96,0.8492,0.6192,0.8756
97,0.266,0.2128,0.2748
98,0.0344,0.032,0.0344
99,0.3464,0.2428,0.3492
100,0.4608,0.3912,0.4616
101,0.9332,0.7616,0.9336
102,0.9408,0.6784,0.944
103,0.5756,0.4436,0.5796
104,0.1132,0.0876,0.1228
105,0.2492,0.2392,0.2496
106,0.5284,0.3232,0.5308
107,0.7364,0.558,0.7616
108,0.822,0.7136,0.8252
109,0.5728,0.5032,0.5752
110,0.262,0.2168,0.2624
111,0.0016,0.0012,0.0016
112,0.0184,0.0184,0.0184
113,0.1308,0.1188,0.1316
114,0.5768,0.428,0.5784
115,0.9888,0.8084,0.9888
116,0.8656,0.6972,0.8688
117,0.4372,0.3064,0.4408
118,0.0372,0.032,0.0372
119,0.0052,0.0052,0.0052
120,0.1272,0.1156,0.1272
121,0.7284,0.6488,0.7288
122,0.9812,0.8572,0.9812
123,0.9952,0.89,0.9956
124,0.9096,0.8208,0.91
125,0.3372,0.1984,0.3388
126,0.1516,0.1516,0.1516
127,0.296,0.276,0.296
128,0.6908,0.6444,0.6916
129,0.998,0.862,0.9984
130,0.9524,0.772,0.9604
131,0.952,0.7588,0.9532
132,0.324,0.1472,0.3272
133,0.0308,0.0264,0.0308
134,0,0,0
135,0.166,0.164,0.166
136,0.2632,0.2532,0.2632
137,0.4544,0.4472,0.4544
138,0.9696,0.8924,0.9696
139,0.476,0.2588,0.4828
140,0.2344,0.0948,0.2356
141,0.0836,0.0476,0.0868
142,0.0176,0.0156,0.018
143,0,0,0
144,0.0048,0.0048,0.0048
145,0.6824,0.6824,0.6824
146,0.0336,0.0328,0.0336
147,0.836,0.7892,0.836
148,0.958,0.8752,0.9584
149,0.302,0.2744,0.3028
150,0.0568,0.0568,0.0568
151,0.034,0.0344,0.0344
152,0.2324,0.232,0.2324
153,0.316,0.288,0.316
154,0.314,0.2976,0.3264
155,0.0004,0.0004,0.0004
156,0.204,0.2148,0.2148
157,0.0416,0.0512,0.0512
158,0.0012,0.0016,0.0016
159,0,0,0
160,0,0,0
161,0,0,0
162,0.1336,0.1336,0.1336
163,0,0,0
164,0.3108,0.3108,0.3108
165,0.0388,0.0388,0.0388
166,0.0044,0.0044,0.0044
167,0.0604,0.0608,0.0608
