id,UKERC7,UKERC9w,UKERC9
1,0,0,0
2,0.075,0.0825,0.1075
3,0.0925,0.1,0.105
4,0.235,0.3025,0.34
5,0.3575,0.2875,0.4125
6,0.115,0.0975,0.125
7,0.07,0.0525,0.07
8,0.01,0.01,0.01
9,0.0225,0.0225,0.0275
10,0.265,0.2225,0.275
11,0.3425,0.225,0.3625
12,0.3075,0.2525,0.33
13,0.2575,0.215,0.2575
14,0.35,0.295,0.3925
15,0.5775,0.53,0.61
16,0.3275,0.2875,0.3325
17,0.01,0.01,0.01
18,0.2475,0.2225,0.2675
19,0.4825,0.3625,0.585
20,0.5925,0.4675,0.64
21,0.6525,0.68,0.8275
22,0.8375,0.7875,0.9075
23,0.525,0.39,0.525
24,0.0575,0.0575,0.0575
25,0.0375,0.05,0.0525
26,0.015,0.0175,0.0175
27,0.0775,0.08,0.0825
28,0.01,0.01,0.0125
29,0.26,0.2875,0.33
30,0.2825,0.2175,0.305
31,0.485,0.39,0.5225
32,0.6725,0.6225,0.7875
33,0.65,0.4275,0.6575
34,0.3825,0.3325,0.4275
35,0.3125,0.3075,0.3725
36,0.345,0.4675,0.5
37,0.3175,0.3525,0.4175
38,0.48,0.4,0.5875
39,0.38,0.36,0.39
40,0.1975,0.2175,0.2825
41,0.29,0.2975,0.39
42,0.0675,0.065,0.07
43,0.055,0.055,0.055
44,0.07,0.0875,0.09
45,0.01,0.01,0.01
46,0.025,0.025,0.025
47,0.155,0.105,0.18
48,0.2225,0.0975,0.225
49,0.2775,0.135,0.2775
50,0.485,0.36,0.485
51,0.2625,0.385,0.4775
52,0.2975,0.425,0.53
53,0.3225,0.4775,0.5525
54,0.295,0.3175,0.3825
55,0.28,0.2375,0.37
56,0.465,0.3725,0.5525
57,0.82,0.5025,0.9225
58,0.53,0.4275,0.5675
59,0.4125,0.35,0.495
60,0.455,0.27,0.565
61,0.4325,0.4725,0.57
62,0.4725,0.55,0.5925
63,0.4,0.405,0.4725
64,0.375,0.435,0.5525
65,0.15,0.215,0.2475
66,0.0575,0.0575,0.0575
67,0.0875,0.0975,0.1325
68,0.415,0.3475,0.43
69,0.5925,0.4675,0.625
70,0.6625,0.6725,0.7875
71,0.4275,0.3275,0.46
72,0.42,0.3875,0.43
73,0.355,0.32,0.355
74,0.19,0.15,0.205
75,0.335,0.3975,0.53
76,0.2575,0.2425,0.3475
77,0.27,0.1,0.2925
78,0.22,0.1875,0.3025
79,0.2975,0.3125,0.52
80,0.565,0.265,0.8425
81,0.2,0.09,0.23
82,0.4575,0.3475,0.6525
83,0.4875,0.5825,0.8325
84,0.425,0.58,0.8825
85,0.2725,0.3725,0.5225
86,0.2125,0.175,0.2225
87,0.0525,0.0525,0.0525
88,0,0,0
89,0.1625,0.17,0.1975
90,0.3725,0.4375,0.46
91,0.42,0.3675,0.435
92,0.0975,0.0875,0.105
93,0.185,0.19,0.2
94,0.58,0.71,0.7625
95,0.265,0.1625,0.275
96,0.4425,0.395,0.4925
97,0.545,0.5425,0.56
98,0.2475,0.215,0.3175
99,0.125,0.085,0.1825
100,0.2875,0.1425,0.3
101,0.725,0.455,0.805
102,0.5075,0.3275,0.6475
103,0.345,0.2375,0.3675
104,0.3275,0.405,0.63
105,0.2825,0.23,0.375
106,0.185,0.0975,0.2525
107,0.3825,0.265,0.53
108,0.265,0.2625,0.3
109,0.0025,0.0025,0.0025
110,0.1375,0.13,0.1375
111,0.285,0.2125,0.285
112,0.0925,0.0875,0.0925
113,0.45,0.355,0.4675
114,0.605,0.5775,0.665
115,0.225,0.185,0.25
116,0.2275,0.2975,0.335
117,0.2025,0.2,0.3725
118,0.2725,0.2025,0.4575
119,0.4425,0.3425,0.52
120,0.585,0.3375,0.585
121,0.7525,0.665,0.7675
122,0.955,0.9225,0.955
123,0.62,0.5275,0.6575
124,0.495,0.3525,0.525
125,0.2675,0.2525,0.2875
126,0.205,0.1075,0.205
127,0.1125,0.1025,0.1125
128,0.0775,0.1125,0.12
129,0.04,0.0575,0.0575
130,0.37,0.46,0.475
131,0.455,0.4025,0.455
132,0.8425,0.6275,0.845
133,0.81,0.6225,0.8125
134,0.7125,0.575,0.715
135,0.3575,0.245,0.3775
136,0.2925,0.24,0.3225
137,0.0825,0.1675,0.23
138,0.2175,0.2225,0.24
139,0.0825,0.1175,0.135
140,0.165,0.1925,0.2425
141,0.4475,0.355,0.6125
142,0.625,0.4775,0.7075
143,0.69,0.63,0.7175
144,0.905,0.89,0.905
145,0.5625,0.5075,0.5675
146,0.3175,0.2775,0.32
147,0.275,0.2675,0.28
148,0.0075,0.0075,0.0075
149,0.0175,0.035,0.035
150,0.2125,0.34,0.3525
151,0.255,0.2875,0.3825
152,0.3475,0.2575,0.35
153,0.4775,0.3575,0.4925
154,0.85,0.7125,0.855
155,0.9825,0.7175,0.9925
156,0.98,0.8875,0.98
157,0.6475,0.6225,0.685
158,0.6275,0.3825,0.6775
159,0.45,0.2125,0.45
160,0.6175,0.5475,0.74
161,0.16,0.28,0.35
162,0.1475,0.1425,0.2025
163,0.3775,0.2975,0.3875
164,0.0975,0.06,0.1
165,0.38,0.37,0.5525
166,0.2825,0.265,0.3325
167,0.3575,0.2475,0.3625
168,0.1625,0.11,0.1625
169,0.1275,0.0975,0.1275
170,0.135,0.1225,0.1375
171,0.1425,0.14,0.1425
172,0.015,0.015,0.015
173,0.035,0.1025,0.1025
174,0.17,0.205,0.2575
175,0.4775,0.5075,0.5975
176,0.585,0.3875,0.585
177,0.81,0.5525,0.8125
178,0.7375,0.7325,0.795
179,0.93,0.9325,0.995
180,0.7,0.75,0.82
181,0.8,0.7275,0.8125
182,0.3675,0.265,0.3925
183,0.345,0.1725,0.3625
184,0.3825,0.38,0.4025
185,0.2925,0.4825,0.57
186,0.065,0.14,0.18
187,0.085,0.075,0.085
188,0.055,0.04,0.055
189,0.2325,0.1875,0.2375
190,0.2975,0.26,0.3125
191,0.1425,0.1275,0.1425
